text_a|text_b|label
《上海单身青年的婚恋调查》31日正式发布，这项由上海市妇女儿童指导服务中心（巾帼园）、上海市婚介机构管理协会携手青年报社《生活周刊》等共同开展的调查，为解决上海单身青年婚恋问题提供了新视角。而在工作竞争激烈、生活节奏快的现代社会，单身越来越成为国内各大城市中普遍存在的社会现象。《上海单身青年的婚恋调查》31日正式发布，这项由上海市妇女儿童指导服务中心(巾帼园)、上海市婚介机构管理协会携手青年报社《生活周刊》等共同开展的调查，为解决上海单身青年婚恋问题提供了新视角。调查显示，地域文化和职业背景、恋爱情商、男性和女性在婚恋观上的思维逻辑和行为方式的差异以及“门当户对、郎才女貌“等传统婚恋观念对现代青年人的影响仍然较大。男爱女“美貌”女爱男“能干多金”调查显示，门当户对、郎才女貌等的传统观念对现代青年人的影响仍然较大。对于恋爱要素，男性在恋爱中首先考虑的五要素依次是：外貌＞性格＞生活习惯＞年龄＞家庭背景；女性首先考虑的五要素依次是：性格＞外貌＞经济条件＞能力潜力＞生活习惯。男性更关注女性作为一个物理人的属性，希望她是“年轻貌美”的；而“经济条件”和“能力潜力”的上榜则说明女性更关注男性作为一个社会人的属性，“剩女”成为社会日益关注的现象。本次调查数据显示了一个意想不到的结论：“剩女”是个伪命题。上海市18至40岁未婚男女比例为53.单身男性明显高于单身女性，而35—40岁和40—45岁年龄段征婚者却是男多女少。男性对婚恋话题的关注远远低于女性。此次调查，这也进一步加剧了上海单身青年婚恋压力。根据调查，此次调查显示，调查显示，调查显示：技术/研发人员这一群体恋爱经历为1次及以下的占60.|“郎才女貌”仍是主流恋爱标准刚刚公布的“上海市单身青年婚恋调查报告”显示，门当户对、郎才女貌的传统观念对现代青年人仍有较大的影响。本次调查还得出一个意外的结论，“剩女”这一社会热点现象似乎是个“伪命题”。调查显示，男性恋爱中首先考虑的五要素依次是：外貌、性格、年龄、生活习惯、家庭背景；女性首先考虑的五要素依次是：性格、外貌、经济条件、能力潜力、生活习惯。男人结婚考虑的五要素依次是：性格、生活习惯、家庭背景、外貌、年龄；女性结婚考虑的五要素依次为：性格、经济条件、生活习惯、能力潜力、外貌。调查者分析，虽然性格合拍都是两性的婚恋首选，但男性重视对方的家庭背景和年龄，而女性重视对方的经济条件与能力潜力，男性更关注女性作为一个物理人的属性，希望她是“年轻貌美”的；而女性更关注男性作为一个社会人的属性，但同时调查显示，“剩女”作为一个社会现象日益受到关注，本次调查最终得出一个意想不到的结论：“剩女”是一个伪命题。|0
安吉跟蔡国庆分到了一起，阿拉蕾跟沙溢分到了一起。沙溢见到阿拉蕾后，你这是专挑董力的短板来表现吗？但是经过沙溢花空心思一顿哄，被沙溢逗得花枝乱颤，沙溢明显很珍惜这个带阿拉蕾的机会，马上就给沙溢灌起了迷魂汤，说最喜欢的两个人就是沙溢跟董力，把沙溢哄的开心死了。想想两个操碎心的儿子，结果安吉在蔡国庆那边神感应的好像听到了，老沙你被阿拉蕾几句好话就哄的连儿子都不要了，沙溢还特意留了3个蛋给安吉，学起了安吉上次嫌弃他的眼神，|2016优酷盛典，阿拉蕾和安吉两个萌娃荣获“年度敲萌宝贝”，看得出来很开心，安吉穿的很帅气、很绅士。郭德纲开玩笑说：我怎么看安吉怎么像我跟胡可的儿子老爸沙溢不开心了，阿拉蕾获奖感言萌翻一众网友：今天拿了莫名其妙的奖很开心。|0
上赛季的总决赛，骑士和勇士发生了一些不快，格林击打詹姆斯裆部被吹技术犯规。格林称如果下次遇到这样的情况，很多球员和球迷都对格林不感冒。喜欢在场上咆哮、挑衅对手，这些都是格林身上的标签。称他是激情型球员，很多时候是包括裁判在内的其他人误会了他。NBA有很多防守能力强的球员，|上赛季的总决赛，骑士和勇士发生了一些不快，格林击打詹姆斯裆部被吹技术犯规。格林称如果下次遇到这样的情况，很多球员和球迷都对格林不感冒。喜欢在场上咆哮、挑衅对手，这些都是格林身上的标签。称他是激情型球员，很多时候是包括裁判在内的其他人误会了他。NBA有很多防守能力强的球员，|1
、2016年12月10日讯，「张学友AClassicTour世界巡回演唱会香港站2016」已开唱数天，包括有：张家辉、契爷胡枫、钟珍、宣萱、邓丽欣、谢天华、廖碧儿、谷祖琳、杜德伟夫妇、那英、余安安、罗霖、温碧霞夫妇、曾志伟、钟镇涛、邱淑贞夫妇、曾华倩、奚仲文、刘天兰、梁家辉太太江嘉年及女儿等等，|长影集团5月13日发布消息，新中国电影配音事业的开拓者和奠基者之一、著名译制电影配音演员、长影老艺术家张玉昆12日晚11时因病在长春去世，1948年随东北军政大学宣传队加入东北电影制片厂(长影前身)，长影集团介绍，他是为新中国第一部译制片《普通一兵》中的主人公马特洛索夫和斯大林双角配音的演员，是新中国电影配音事业的开拓者和奠基者之一。|0
北京时间12月4日上午，勇士坐镇甲骨文球馆迎战太阳。勇士在首节便建立7分优势。勇士高歌猛进，全场比赛结束，勇士在主场以138-109血洗太阳，本赛季第三次击败太阳。数据统计：勇士（17-3）：库里31分2板2助1断、克莱-汤普森26分5板3助、杜兰特20分4板8助3帽、格林9分5板13助3断、帕楚利亚7分3板、麦基11分2板、韦斯特10分2板2助。太阳（6-14）：布雷德索27分5板4助5断、布克21分5助、塔克9分7板、克里斯11分4板、泰森-钱德勒2分9板、奈特14分、本德尔10分4板。布雷徳索飚中三分，塔克暴扣入框，太阳开局以5-0领先。杜兰特先中三分后送暴扣，克里斯补篮得手，帕楚里亚上篮得手，克里斯投进三分，太阳以14-10领先。汤普森连续投中三分，布雷徳索两罚全中，勇士领先两分。库里则命中两记三分，勇士稍稍拉大分差。勇士以37-30领先。勇士领先至两位数。汤普森连续跳投得手，勇士领先19分。勇士已领先20分。汤普森投进三分，库里上篮得手，勇士已经领先14分。两队首发：勇士：库里、克莱-汤普森、杜兰特、德雷蒙德-格林、帕楚利亚太阳：布雷德索、德文-布克、塔克、克里斯、泰森-钱德勒|北京时间12月4日上午，勇士坐镇甲骨文球馆迎战太阳。勇士在首节便建立7分优势。勇士高歌猛进，全场比赛结束，勇士在主场以138-109血洗太阳，本赛季第三次击败太阳。数据统计：勇士（17-3）：库里31分2板2助1断、克莱-汤普森26分5板3助、杜兰特20分4板8助3帽、格林9分5板13助3断、帕楚利亚7分3板、麦基11分2板、韦斯特10分2板2助。太阳（6-14）：布雷德索27分5板4助5断、布克21分5助、塔克9分7板、克里斯11分4板、泰森-钱德勒2分9板、奈特14分、本德尔10分4板。布雷徳索飚中三分，塔克暴扣入框，太阳开局以5-0领先。杜兰特先中三分后送暴扣，克里斯补篮得手，帕楚里亚上篮得手，克里斯投进三分，太阳以14-10领先。汤普森连续投中三分，布雷徳索两罚全中，勇士领先两分。库里则命中两记三分，勇士稍稍拉大分差。勇士以37-30领先。勇士领先至两位数。汤普森连续跳投得手，勇士领先19分。勇士已领先20分。汤普森投进三分，库里上篮得手，勇士已经领先14分。两队首发：勇士：库里、克莱-汤普森、杜兰特、德雷蒙德-格林、帕楚利亚太阳：布雷德索、德文-布克、塔克、克里斯、泰森-钱德勒|1
西部网讯（陕西广播电视台《都市快报》记者宋涛涛）春节期间，有的人跟家里老少团聚，有的人可能还在回家的列车上思乡心切。记者在火车站碰到了一个男子让人无比心酸。邢万强：“给孩子带的伊犁的糖果带了四包，给邻居家的孩子也带了几包。”记者：“给邻居家的孩子也带了？”邢万强：“肯定了，应该给人家孩子捎一包。”眼前这个男子名叫邢万强，背的两个大袋子除了被褥以外，就是给孩子买的吃的。邢万强：“给邻居家的孩子也带了？记者：“孩子跟你感情深吗？邢万强：“光知道喊爸爸，”邢万强很快就可以见到自己的家人了，他在火车上站了40多个小时，邢万强：“坐了40多个小时。”记者：“一路站回来的吗？”邢万强：“一路站回来的，”陈俊是西安火车站的客运员，客运员陈俊：“来，”客运员陈俊：“你中午吃饭咋吃呢？”邢万强：“好。”客运员陈俊：“他说孩子只知道叫爸爸，客运员陈俊在打饭窗口打来五个鸡腿和三份菜，|（来源：茂名网）11月4日，化州警方通报，成功侦破“10·27”河西禾化村委会白发村“持枪”偷狗案，抓获活跃于信宜、高州、化州等地的2名电白籍涉案人员，解救狗11只，现场缴获作案车辆1台，以及套狗圈、钩刀、水管、铁夹等作案工具一批。（图片来源网络）化州河西惊现“持枪”偷狗贼10月27日早上6时，化州市河西街道办禾化村委会白发村张某富报警，称在该村发现有人驾驶一辆银白色小型面包车偷狗，村民拦截车辆过程中，车里的偷狗贼打开车门朝天开了一枪，偷狗贼驾驶的车辆主要特征为：车辆银白色、车身残旧、车右尾车灯损毁、悬挂粤k车牌尾数为“135”；偷狗贼开枪的枪支约长30厘米，警方串并案锁定作案车辆案发后，茂名、化州两级公安机关高度重视，办案组民警迅速展开侦查工作，全力追查作案车辆逃跑的行车轨迹。同时办案组人员串并茂名、化州市近期偷狗的案件展开研判分析。办案民警很快发现了该作案车辆“粤K6n×××”的活动轨迹，民警获悉作案车辆偷完狗正拉往电白羊角镇进行销赃。满载而归的偷狗贼开着作案车辆经过该路段时，|0
作者：龚进辉自从格力电器董事长董明珠成为网红后，有董小姐坐镇的场合从来就不缺新闻。今天她在出席央视财经论坛对格力全员加薪1000元进行回应，称智能制造时代，员工应该享受到自己创造的价值，并自曝明年格力仍将继续给所有员工加薪1000元。你给员工每人多发1000元钱，”董明珠不改霸气本色回应道，“明年我还加1000块钱，当时一则署名为珠海格力电器股份有限公司的《关于公司全员每人每月加薪1000元的通知》开始在网上疯传，格力电器将对入职满三个月的全体员工（特殊议薪人员除外），每人每月加薪1000元，随后这一消息得到格力官方属实。每人每月加薪1000元，意味着每月工资支出增加7000多万元，如果明年再加薪1000元，格力敢推行全员加薪这一福利，|本报讯(记者张钦)董明珠的出牌套路永远让人预测不到，正当有人推测她现在的心情很不好、有人猜想她是不是想撂挑子的时候，昨天董明珠再发惊人之举，宣布为公司全体员工每月加薪1000元，根据格力电器昨天下发的内部文件显示，格力电器所有员工在现有月工资基础上每人每月增发1000元，只要入职满三个月的员工人人有份。据北青报记者昨天从格力内部了解到，按照目前的员工规模，此次涨薪涉及大约7万名格力员工。这意味着格力电器从下月起将每月增加工资成本7000万元，“很多企业愿意跟格力比销售、比业绩，喜欢拿格力说事儿，”这位格力人士这样表示。格力的内部文件表示，据格力内部人士透露，这次涨薪肯定是董明珠提出并首肯的，据格力内部人士透露，董明珠突然选择为员工加薪应该是“早有预谋”的，|0
在今年举办的上海车展上，基于红旗B-Concept概念车打造的红旗H5强势亮相，吸引了无数消费者的目光，红旗H5将要在今年的12月份正式上市销售。新车的前脸设计非常激进，面积巨大的进气格栅采用了直瀑式设计，发动机盖上保留了红旗品牌独特的类似旗帜样式的立标logo，前大灯组采用了LED灯组，新车的整体造型较为时尚，新车采用了目前比较流行的内饰布局，|红旗作为国内唯一一个拥有超过50年历史，且被真正意义上划归“豪华品牌”领地的汽车品牌。在历届车展上都被消费者所关注，比如“天价红旗被谁买走了”，“500万的红旗L5”之类的。2016年红旗“单飞”，2017年红旗将推出了一款年轻化的新车型，红旗H5。一向以官车自居的红旗竟然也开始悄悄放下架子，跟着众多品牌赶起了时髦，这与之前红旗品牌的车型有着天壤之别。作为红旗品牌年轻化的重要战略车型，代表着红旗这个品牌改革转型的成功与否。新车的整体造型较为时尚，上扬的后备厢盖凸显了其主打运动轿车的决心，|1
南方网讯（记者/霍雪龙通讯员/粤交宣）2016年11月15日下午，广东省7地市全国交通一卡通互联互通开通仪式在广州举行，开启了我省交通一卡通工作新起点。交通运输部运输服务司王水平巡视员、交通通信信息中心林榕副主任等领导到会指导，与广东省交通运输厅刘晓华副厅长、7个开通地市的交通运输局代表共同按下了广东省七地市全国交通一卡通互联互通启动按钮。韶关、惠州、江门、河源、揭阳、云浮、肇庆等7个地市的100条线路1071台车率先可使用全国交通一卡通，开通刷卡功能的公交车载机上均张贴了醒目的全国交通一卡通标识。推进全国交通一卡通工作是交通运输部2016年更贴近民生实事和运输服务信息化推进督办重点工作之一，特别是本次开通的线路充分考虑了全国交通一卡通的应用场景，继续推进全国交通一卡通在广东省的全面推广应用，|南方网讯（记者/霍雪龙通讯员/粤交综）2016年11月15日下午，广东省7地市全国交通一卡通互联互通开通仪式在广州举行，开启了我省交通一卡通工作新起点。交通运输部运输服务司王水平巡视员、交通通信信息中心林榕副主任等领导到会指导，与广东省交通运输厅刘晓华副厅长、7个开通地市的交通运输局代表共同按下了广东省七地市全国交通一卡通互联互通启动按钮。江门、韶关、惠州、河源、揭阳、云浮、肇庆等7个地市的100条线路1071台车率先可使用全国交通一卡通，开通刷卡功能的公交车载机上均张贴了醒目的全国交通一卡通标识。推进全国交通一卡通工作是交通运输部2016年更贴近民生实事和运输服务信息化推进督办重点工作之一，特别是本次开通的线路充分考虑了全国交通一卡通的应用场景，继续推进全国交通一卡通在广东省的全面推广应用，|1
南都讯记者张鹏通讯员黄彩华刘靖贤东莞一无业男子谎称自己为“富二代”，在网上结识了女友后，盗走对方财物共1.8万多元，南都记者从东莞市第二人民法院获悉，方某因犯盗窃罪被判处有期徒刑一年，并被责令退赔失主损失。现年22岁的广西男子方某冒名“陈浩南”，通过网上聊天工具结识女网友阿丽(化名)。方某谎称自己是个“富二代”。方某趁阿丽外出之机，从出租房盗走对方的翡翠项链、相机、名牌钱包以及若干现金，阿丽的朋友在厦岗社区福湖花园附近路段发现方某并报警。法官说法网上交友须谨慎主审本案的东莞市第二人民法院刑庭副庭长李年富称，|妹纸们每个月都有那么几天会有亲戚来访，很多妹纸都因不堪这位亲戚的折磨，多次喊话：下辈子再也不做女人！南昌警方破获一起特大假冒品牌卫生巾案，查获假冒的“护舒宝”、“ABC”、“七度空间”、“苏菲”、“洁伶”等知名品牌卫生巾30400余件（共计1000多万片），涉案总价值4000余万元！据嫌疑人交代，这些卫生巾的制假成本一般只要2~3元左右，对下级经销商的批发价是一包4~5元，该窝点的下级经销商还十分“庞大”，其销售记录有湖南、湖北、黑龙江、广东、新疆、河南等全国各地，而大约70%是由使用卫生巾不当或者使用劣质卫生巾造成的！劣质卫生巾的危害1、会滋生细菌：劣质卫生巾吸水及锁水能力差，2、含致癌物：劣质卫生巾采用化学工业用胶，|0
艺人郑爽曾经跟张翰有过一段情，虽然如今对方已有新女友古力娜扎，还是常常被网友放在一起谈论。她分手后鲜少谈这段恋情，最近在网络上回答粉丝问题，见到有人批评娜扎“不知廉耻”、“装可怜踩别人”，却罕见开腔“哇终于有人提问了”，使得过去的感情问题再度成为焦点！因为粉丝提出的1个问题，使得古力娜扎和郑爽之间的关系再度成为焦点。一名粉丝在微博向郑爽提问，开价人民币1万元请求回答：“小爽，某人又要不知廉耻的出通稿、装可怜踩别人、博同情上位了，”郑爽回答粉丝的问题。郑爽的前男友张翰，却也让郑爽和古力娜扎之间的关系成为网友焦点。|网友通过微博对郑爽提出问题，主要还是花钱提问，一网友花了6666.66人民币询问小爽:“爽，对待前任，你持什么样的态度？”小爽马上回答了一个令人瞠目结舌的答案，“尴尬”，可是网友可能真的尴尬了，许多网友评论到，对待前任的态度，其实网友们还在想小爽指的那个前任是张翰还是胡彦斌呢。|0
